LINKNO,subw_4,subw_5,subw_6,subw_7,Subw_8
3154,543,69,19,5,1
2930,317,69,19,5,1
2706,503,69,19,5,1
2482,317,69,19,5,1
2258,503,69,19,5,1
2034,317,69,19,5,1
1810,503,69,19,5,1
1586,317,69,19,5,1
914,503,69,19,5,1
690,503,69,19,5,1
466,550,69,19,5,1
242,503,69,19,5,1
37203,205,69,19,5,1
36979,205,69,19,5,1
36755,205,69,19,5,1
36531,205,69,19,5,1
36307,318,69,19,5,1
36083,318,69,19,5,1
35859,318,69,19,5,1
31826,318,69,19,5,1
35635,245,69,19,5,1
35411,245,69,19,5,1
35187,245,69,19,5,1
34963,245,69,19,5,1
34739,245,69,19,5,1
34515,245,69,19,5,1
34291,245,69,19,5,1
34067,245,69,19,5,1
33843,283,69,19,5,1
33619,283,69,19,5,1
33395,283,69,19,5,1
33171,283,69,19,5,1
32947,283,69,19,5,1
32723,283,69,19,5,1
32499,283,69,19,5,1
32275,283,69,19,5,1
32051,317,69,19,5,1
31827,317,69,19,5,1
30706,317,69,19,5,1
31379,448,69,19,5,1
31155,448,69,19,5,1
25554,448,69,19,5,1
30707,503,69,19,5,1
30483,503,69,19,5,1
30259,503,69,19,5,1
30035,503,69,19,5,1
35860,441,69,19,5,1
25330,543,69,19,5,1
25106,503,69,19,5,1
29811,503,69,19,5,1
29587,503,69,19,5,1
29363,503,69,19,5,1
29139,503,69,19,5,1
23090,503,69,19,5,1
28915,448,69,19,5,1
28691,448,69,19,5,1
28467,448,69,19,5,1
29140,448,69,19,5,1
28243,448,69,19,5,1
28019,448,69,19,5,1
27795,448,69,19,5,1
27571,448,69,19,5,1
27347,448,69,19,5,1
27123,448,69,19,5,1
26899,448,69,19,5,1
26675,448,69,19,5,1
26451,448,69,19,5,1
26227,448,69,19,5,1
26003,448,69,19,5,1
25779,448,69,19,5,1
25555,448,69,19,5,1
25331,245,69,19,5,1
25107,245,69,19,5,1
24883,318,69,19,5,1
24659,245,69,19,5,1
24435,448,69,19,5,1
24211,448,69,19,5,1
23987,448,69,19,5,1
23763,448,69,19,5,1
23539,245,69,19,5,1
23315,318,69,19,5,1
23091,318,69,19,5,1
22867,448,69,19,5,1
22643,318,69,19,5,1
22419,318,69,19,5,1
22195,448,69,19,5,1
21971,245,69,19,5,1
1364,189,69,19,5,1
19060,448,69,19,5,1
4276,448,69,19,5,1
2932,448,69,19,5,1
2484,448,69,19,5,1
468,245,69,19,5,1
20,448,69,19,5,1
19954,318,69,19,5,1
9650,318,69,19,5,1
17938,448,69,19,5,1
10770,448,69,19,5,1
10322,448,69,19,5,1
11218,318,69,19,5,1
12114,245,69,19,5,1
12562,318,69,19,5,1
13234,283,69,19,5,1
15250,245,69,19,5,1
14130,448,69,19,5,1
14578,318,69,19,5,1
15026,448,69,19,5,1
16370,448,69,19,5,1
16146,448,69,19,5,1
21523,317,69,19,5,1
21299,189,69,19,5,1
21075,317,69,19,5,1
20851,317,69,19,5,1
20627,283,69,19,5,1
20403,283,69,19,5,1
20179,189,69,19,5,1
19955,189,69,19,5,1
19507,317,69,19,5,1
19283,189,69,19,5,1
19059,448,69,19,5,1
18611,448,69,19,5,1
18387,189,69,19,5,1
18163,448,69,19,5,1
17939,448,69,19,5,1
17715,448,69,19,5,1
17491,317,69,19,5,1
17267,448,69,19,5,1
17043,448,69,19,5,1
16371,245,69,19,5,1
16147,317,69,19,5,1
15923,283,69,19,5,1
15699,448,69,19,5,1
15475,283,69,19,5,1
15251,317,69,19,5,1
15027,205,69,19,5,1
14803,189,69,19,5,1
14579,189,69,19,5,1
14355,448,69,19,5,1
14131,245,69,19,5,1
13907,283,69,19,5,1
13683,245,69,19,5,1
13459,189,69,19,5,1
13235,189,69,19,5,1
13011,503,69,19,5,1
12787,317,69,19,5,1
12563,448,69,19,5,1
12339,283,69,19,5,1
12115,448,69,19,5,1
11891,448,69,19,5,1
11667,448,69,19,5,1
11443,205,69,19,5,1
11219,448,69,19,5,1
10995,448,69,19,5,1
10771,317,69,19,5,1
10547,245,69,19,5,1
10323,245,69,19,5,1
10099,448,69,19,5,1
9875,448,69,19,5,1
9651,448,69,19,5,1
9427,317,69,19,5,1
9203,283,69,19,5,1
8979,205,69,19,5,1
8755,448,69,19,5,1
8531,503,69,19,5,1
8307,448,69,19,5,1
8083,317,69,19,5,1
7859,205,69,19,5,1
7635,503,69,19,5,1
7411,189,69,19,5,1
7187,283,69,19,5,1
6963,448,69,19,5,1
6739,503,69,19,5,1
6515,317,69,19,5,1
6291,189,69,19,5,1
6067,283,69,19,5,1
5843,317,69,19,5,1
5619,245,69,19,5,1
5395,503,69,19,5,1
5171,189,69,19,5,1
4947,245,69,19,5,1
4723,317,69,19,5,1
4499,283,69,19,5,1
4275,503,69,19,5,1
4051,448,69,19,5,1
3827,448,69,19,5,1
3603,245,69,19,5,1
3379,448,69,19,5,1
3155,317,69,19,5,1
2931,448,69,19,5,1
2707,503,69,19,5,1
2259,318,69,19,5,1
2035,448,69,19,5,1
1811,318,69,19,5,1
1587,189,69,19,5,1
1363,245,69,19,5,1
1139,317,69,19,5,1
467,318,69,19,5,1
19,503,69,19,5,1
38548,189,69,19,5,1
38324,189,69,19,5,1
38100,189,69,19,5,1
37876,189,69,19,5,1
37652,189,69,19,5,1
37428,189,69,19,5,1
37427,205,69,19,5,1
30931,503,69,19,5,1
36980,504,69,19,5,1
36756,504,69,19,5,1
36532,504,69,19,5,1
36308,504,69,19,5,1
36084,504,69,19,5,1
35636,441,69,19,5,1
35412,441,69,19,5,1
35188,189,69,19,5,1
34964,189,69,19,5,1
34740,504,69,19,5,1
34516,504,69,19,5,1
34292,441,69,19,5,1
34068,189,69,19,5,1
